9578.5,9679,11091,9510,9700.5,9243.8,10746,10496,10812,10433,9785.2,10478,9822.3,10012,9933.9,10153,0,11480,10587,11643,10105,12273,11470,12615,11437,10174,11233,12486,10119,11718,10797,11220,9339.9,10737,12955,10123,10379,11839,10257,10185,10980,9567.6,11564,0,10690,8977.4,11109,9276.2,9558.3,9625,9216.8,10452,10548,9853.1,9737.9,11320,9400.3,10521
9352.4,9285.4,10778,9307.7,9239.1,9035,10502,9826.3,10218,9856.7,9242.6,9907.7,9879.8,9543,9454.3,9824.6,0,11194,10348,11470,9901.8,11853,11217,12413,10994,10306,10843,12070,10107,11546,10602,10971,9318.2,10368,12229,9658.6,10159,11820,9832.4,9863.1,10445,9135.3,11307,10371,10454,8902.6,10931,9086.2,9221.6,9486.1,8891,10179,10363,9582.2,9360.4,10882,9119.9,0
9221.2,9215.6,10618,9216,9377.7,8764.7,10100,9677,10410,10007,9378.4,9983.5,9583.3,9658.9,9361,9804.8,0,10947,10190,11150,9919.2,11870,10962,11893,10547,9867.4,10776,12142,9854.3,10967,10509,10297,9277.4,10177,11963,9580.1,10092,11233,9599.4,9786.8,10425,8931,11090,9773.4,9946.7,8591.1,10788,8905,9164.4,9334.1,9043.8,10004,10222,9272.7,9159.8,10997,9067.6,0
9310.6,9278.9,10722,9290,9269.3,8878.9,10469,9543.1,9969.9,9622,9416,10026,9449.9,9544.5,9396.3,9846.4,0,10922,10078,11387,9900.2,11588,11079,11537,10415,9963.8,10712,11896,9809.9,10980,10403,10489,9117.8,10261,11971,9533.6,9968.3,11067,9834.6,9728.4,10575,8905.6,11259,9867.8,9770.2,8889.4,10867,8876.8,9197.1,9294.8,8903.9,10000,10265,9354.8,9278.4,11128,9084.4,0
9783.8,9794.7,11375,10318,9550.1,9225.8,11330,9882.6,10525,10451,10269,10269,9938.3,10017,10140,10123,0,11831,11251,12494,10738,12369,11758,11578,10969,10499,11353,11811,10386,11328,10930,11129,9225.8,0,12655,10332,10027,11677,10364,10297,11433,9556,12016,10513,10127,9310.8,11217,9363.4,9903.3,9936.1,9749.8,10696,10494,9779.5,9528.2,11930,9693.1,0
9612.7,10511,12093,10286,9843.4,9668,12036,10161,10416,10556,10514,10317,9753.9,10749,10722,10292,0,11885,11177,12994,11030,12911,11713,11464,11455,10399,11807,11401,10402,11275,11336,11076,9446.3,0,13631,10603,10367,12215,10621,11275,11946,10301,12060,10635,10517,10012,11665,9635.3,10225,10546,10289,10741,10048,10158,9371.1,12177,9893.8,0
9387.8,10552,11035,10233,9768.5,9221.1,11866,10092,9978.3,10320,9681.9,10066,9359.6,10285,10334,9967.6,0,11913,10456,12201,10440,12822,11726,10921,10935,9926.8,11596,12161,10777,11536,10959,10607,9270.5,0,13117,10645,10000,11674,10391,10241,11488,10187,11145,9955.7,10426,9208.2,10856,9461.6,9563,10062,9849.8,10344,9879.4,9683.2,9063.4,12092,9877.8,0
9291.4,9470.7,10344,9587.2,9098.9,8925.3,10905,9236.6,9553.8,10223,9390.1,9303.8,9293.8,9581.7,9566.5,9524.8,0,11454,10029,10944,9598.5,12263,10928,10482,10321,9432.2,11201,12096,9999.3,10776,10724,9712.1,9065.4,0,12310,10395,9770.3,11207,9297.4,9695.9,10660,9869.2,10544,9906.7,9745.1,8974.3,10595,9015.3,9365.7,9314.8,9326,9960.1,9508.4,9137.2,8705.4,11511,9317.3,0
8855.3,8828.2,9822.6,9049.9,8452.9,8903.8,10157,9298.4,9254,9491.2,8970.5,9323.8,9030.1,9051,9278.4,8951.2,0,10322,9255.3,10594,9198.7,11127,10708,10248,9361.5,8883.8,10655,11347,9874.1,10367,10531,9916.9,8597.7,0,11521,9129.4,9689.7,10727,8923.5,9302.3,9948.9,8793.8,10306,9353.2,9255.6,8453.5,10319,8597.5,8581.9,8838.1,9064.7,9489,9451.9,8807.5,8364.8,10901,8879.1,0
8585.7,8372.6,9288.8,8672.9,8291,8298.7,10038,8697.5,9061.5,9198.3,8648.2,8871.5,8799.9,8763.6,8932.5,8633.3,0,10064,8920.8,10513,8803.1,10718,9921,10092,9007.6,8886,10406,10199,9244.6,10083,10335,9378.9,8477.6,0,10937,8875.1,9171.6,10007,8565.9,8884.6,9628.1,8429.2,9704.5,8868.4,8793.3,7807.6,9888.9,8267.1,8184.5,8494,8401.9,8905.3,9238.3,8520.4,8161.2,10088,8395,0
8410.8,8128,9191.5,8261.9,8092.7,8001.8,9520.3,8310.6,8692.1,8964.9,8505.7,8683,8580,8307.1,8606.7,8803.8,0,9510.6,8919.5,9997.7,8502.1,10676,10136,10044,9070.9,8557.5,10038,10251,9051.2,9659.5,9665.5,9160,8237,0,10366,8847.1,9102.8,9644.9,8365.4,8375.7,9091.9,8138.7,9619.7,8565.4,8612.1,7722,9370.3,7961.9,8023.4,8079.8,8190.7,8682.9,8861.6,8281.1,8114.6,10192,8283.1,0
8173.1,7960.3,8902.6,8114.6,7860.2,7913.8,9066.2,8096.8,8807.8,8624.9,8152.3,8571.2,8389.9,8583.9,8201.4,8911.1,0,9181.3,8856.9,9704,8276.2,9931.4,9563.1,9601.3,8818,8405.1,9564.5,9835.4,8688.6,9343.7,9347.3,9284.3,8043.1,0,10319,8464.6,8777.6,9367.4,7993.7,8585.5,8515.3,7912.1,9386.8,8303.8,8488.7,7577.5,9164.9,7685.2,7773.1,8236.2,7945.9,8622.3,8793.9,8161.3,7991.4,9425,7954.7,0
8039.9,7947.6,8816.1,8073.8,7797.7,7842.2,8948.7,7972.3,8466.9,8734.4,7997.6,8453.6,8296.6,8026.4,8164.6,8474.4,8449.3,9005.9,8278.5,9622.2,8475.1,9524.6,9483.3,9791.8,8761.8,8437.3,9468,9546,8753.8,9126.6,9272.8,8864.7,7971.3,0,9998.7,8343.2,8461,9249,8042.3,8138.4,8501.6,7790.9,9229.7,8234.1,8271.3,7451,9016.8,7673,7710.3,7847.7,7768.5,8528.5,8515.1,8017.5,7683.7,9090.6,7784.8,0
7973.5,7719.2,8562.2,7903.1,7603.2,7632.6,9050,8002.6,8488.9,8571,8072.7,8469,7996.4,7775.5,8128.3,8292.9,8226.6,8822.3,8470.5,9537.8,8313.9,9335.5,9318,9689.8,8631.3,8084.8,9171.6,8920.7,8446.3,8996.5,9073.4,8562.7,8003.6,0,9732.7,8248,8367,9056.6,7970.3,8101.7,8614.7,7766,9129.5,8252.1,8171.1,7383.9,8796.6,7576.1,7759.5,7777.3,7637.6,8213.7,8488,7837.1,7674.9,8981.4,7822.3,0
